eid,true,pred
1.0,44.642857,42.91534
2.0,51.587303,76.675186
3.0,27.777779,29.642952
4.0,120.03968,121.924255
5.0,101.190475,116.652084
6.0,99.20635,112.4669
7.0,71.42857,64.34643
8.0,55.555557,62.30067
9.0,55.555557,72.48964
10.0,66.468254,80.9127
11.0,77.38096,72.20979
12.0,115.07937,104.362175
13.0,115.07937,113.6978
14.0,31.746033,25.172543
15.0,108.13492,113.252106
16.0,56.54762,85.9143
17.0,125.0,111.455025
18.0,125.0,106.154236
19.0,85.31746,123.22271
20.0,56.54762,56.31503
21.0,18.849207,18.040115
22.0,119.04762,125.17119
23.0,78.37302,75.23452
24.0,9.920635,9.475036
25.0,58.531746,72.92683
26.0,11.904762,13.507023
27.0,88.29365,102.23001
28.0,125.0,122.37405
29.0,124.007935,121.34732
30.0,89.28571,85.59046
31.0,79.36508,85.97548
32.0,55.555557,61.558662
33.0,71.42857,78.76514
34.0,65.4762,106.99113
35.0,87.30159,109.166855
36.0,125.0,116.03813
37.0,125.0,125.26301
38.0,22.817461,22.45686
39.0,8.928572,1.0165169
40.0,41.666668,36.19059
41.0,125.0,122.999535
42.0,115.07937,102.20762
43.0,125.0,112.373146
44.0,69.44445,80.087814
45.0,111.111115,121.33012
46.0,7.936508,-1.5756407
47.0,125.0,121.64706
48.0,55.555557,59.613255
49.0,125.0,113.240486
50.0,11.904762,10.913883
51.0,78.37302,96.59526
52.0,120.03968,125.46405
53.0,87.30159,108.65723
54.0,87.30159,130.6854
55.0,55.555557,50.81594
56.0,93.25397,89.57291
57.0,88.29365,72.82575
58.0,40.674606,39.716187
59.0,49.603176,35.910828
60.0,125.0,115.113556
61.0,125.0,121.01018
62.0,58.531746,46.95278
63.0,117.06349,123.25151
64.0,28.769842,28.269394
65.0,115.07937,125.552895
66.0,87.30159,99.91457
67.0,92.2619,108.38979
68.0,103.17461,102.69372
69.0,100.19841,115.78078
70.0,63.492065,74.09276
71.0,35.714287,33.059357
72.0,45.634922,47.707382
73.0,99.20635,121.993355
74.0,117.06349,122.812256
75.0,45.634922,47.653896
76.0,27.777779,29.098186
77.0,86.309525,63.59013
78.0,20.833334,15.064352
79.0,18.849207,29.758854
80.0,125.0,128.70967
81.0,15.873016,11.235918
82.0,6.9444447,-0.8788661
83.0,125.0,123.52576
84.0,104.166664,85.15374
85.0,56.54762,88.86498
86.0,25.793652,13.962544
87.0,68.45238,61.24354
88.0,125.0,122.05349
89.0,41.666668,50.294613
90.0,51.587303,50.724777
91.0,81.34921,102.26542
92.0,14.880953,11.923574
93.0,67.46032,93.16885
94.0,10.912699,7.4803634
95.0,125.0,101.43763
96.0,113.09524,77.91112
97.0,123.01588,123.446335
98.0,17.857143,18.084677
99.0,8.928572,6.5251403
100.0,28.769842,21.084738
