eid,true,pred
1.0,112.10317,99.9383
2.0,98.21429,127.58665
3.0,69.44445,47.81302
4.0,82.34127,79.71901
5.0,91.269844,94.63943
6.0,93.25397,108.87706
7.0,91.269844,113.52581
8.0,95.2381,78.02188
9.0,111.111115,112.080475
10.0,96.230156,85.09226
11.0,97.22222,89.07157
12.0,124.007935,105.30265
13.0,95.2381,72.706436
14.0,107.14286,106.23514
15.0,83.333336,106.125015
16.0,84.32539,115.99565
17.0,50.595238,53.983196
18.0,28.769842,31.89547
19.0,87.30159,97.36244
20.0,16.86508,10.417451
21.0,57.539684,70.33717
22.0,111.111115,127.17458
23.0,113.09524,137.64519
24.0,20.833334,21.54155
25.0,125.0,111.74749
26.0,119.04762,109.57959
27.0,66.468254,98.28222
28.0,97.22222,93.31089
29.0,90.27778,113.74248
30.0,115.07937,119.113625
31.0,8.928572,4.8280497
32.0,48.61111,37.018192
33.0,106.15079,110.12912
34.0,7.936508,-0.3440223
35.0,11.904762,7.542997
36.0,19.84127,16.55282
37.0,21.825397,23.07094
38.0,50.595238,55.047577
39.0,125.0,123.864456
40.0,28.769842,31.796984
41.0,18.849207,16.669313
42.0,10.912699,11.09437
43.0,59.52381,62.12777
44.0,109.12698,105.60744
45.0,114.087296,80.9296
46.0,47.61905,42.952633
47.0,125.0,98.74947
48.0,92.2619,119.1723
49.0,21.825397,18.732557
50.0,79.36508,89.30772
51.0,114.087296,105.235725
52.0,29.761906,35.664143
53.0,26.785715,32.664837
54.0,97.22222,110.41557
55.0,125.0,111.93996
56.0,15.873016,19.946373
57.0,103.17461,108.50475
58.0,37.698414,42.168907
59.0,114.087296,98.096436
60.0,100.19841,104.89958
61.0,21.825397,21.919
62.0,54.56349,53.019855
63.0,72.42063,73.04686
64.0,28.769842,24.798632
65.0,125.0,109.154884
66.0,14.880953,22.276886
67.0,77.38096,115.09578
68.0,8.928572,5.8214803
69.0,121.031746,124.03859
70.0,94.24603,84.2582
71.0,118.05555,103.16886
72.0,50.595238,65.081276
73.0,125.0,113.57102
74.0,125.0,104.65813
75.0,113.09524,104.19323
76.0,10.912699,8.564548
77.0,34.722225,28.4223
78.0,107.14286,117.88641
79.0,63.492065,86.26386
80.0,90.27778,97.71396
81.0,8.928572,11.7014265
82.0,9.920635,8.124554
83.0,125.0,128.45299
84.0,58.531746,77.390015
85.0,118.05555,132.06741
86.0,89.28571,110.799614
87.0,116.07143,118.96888
88.0,115.07937,121.95083
89.0,125.0,106.79301
90.0,28.769842,33.51489
91.0,38.69048,26.12283
92.0,20.833334,25.521904
93.0,85.31746,58.79775
94.0,55.555557,68.761024
95.0,125.0,113.70574
96.0,125.0,96.514465
97.0,82.34127,83.01958
98.0,59.52381,73.004875
99.0,117.06349,116.46001
100.0,20.833334,18.06786
